Tag_Option,Account_Category,Account_Name,Account_Code,Total
8000011 - المصاريف العمومية والادارية تكامل,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8000030 - تدريب وتطوير تكامل,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8000040 - مكتب ادارة المشاريع تكامل,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8000050 - الاتصال المؤسسي تكامل,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8000060 - منصة قياس الأثر,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8023010 - إنشاء مقار إدارة العمل التطوعي لخدمة ضيوف الرحمن,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8023020 - منهجية عمل تعزز البنية المؤسسية للمنظمات غير الربحية,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,1500.0
8023030 - رفع الوعي الفني لدى منظمات القطاع غير الربحي,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8024010 - مشروع تقديم خدمات تأسيس وتفعيل وحدات ومراكز العمل التطوعي,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8024020 - مشروع الخدمات اللوجستية للعاملين في القطاع غير الربحي,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8024030 - تمكين الجمعيات المتخصصة العاملة في القطاع غير الربحي,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8024040 - تقديم الخدمات اللوجستية للتدريب في برنامج رائد,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025010 - مشروع العربة,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025020 - مشروع وزارة الرياضة,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025030 - تقديم 3000 ساعة عمل تطوعية لموظفين شركة الكهرباء,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025040 - مصنع الابتكار - اشوكا,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025050 - حصر الاحتياج التدريبي في منظومة الصحة,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025060 - مجموعات عمل التطوع التكافلي,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025070 - سفر الإفطار في الحرم المكي,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025080 - سوق الدار,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025090 - هاكاثون الوعي المعرفي,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025100 - مشروع منظومة عمل إدارة دراسات الحالة,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025110 - مشروع خارطة الاستثمار الاجتماعي في قطاع الشباب,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8025120 - مشروع تقديم خدمات استشارية لأكاديمية الفوزان,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8026010 - تأسيس وحدة الاستثمار الاجتماعي مع جمعية متلازمة النجاح,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8026020 - التأهيل للتوظيف,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
8026030 - حاضنة أثر الطاقة الاجتماعية,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
Untagged,Cost of Goods Sold,Withhodling tax - 530108 - ضريبة استقطاع,530108,0.0
Overall,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,14400.0
8000010 - تسوية مراكز التكلفة تكامل,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8000011 - المصاريف العمومية والادارية تكامل,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8000030 - تدريب وتطوير تكامل,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8000040 - مكتب ادارة المشاريع تكامل,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8000050 - الاتصال المؤسسي تكامل,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8000060 - منصة قياس الأثر,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8023010 - إنشاء مقار إدارة العمل التطوعي لخدمة ضيوف الرحمن,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8023020 - منهجية عمل تعزز البنية المؤسسية للمنظمات غير الربحية,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8023030 - رفع الوعي الفني لدى منظمات القطاع غير الربحي,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8024010 - مشروع تقديم خدمات تأسيس وتفعيل وحدات ومراكز العمل التطوعي,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8024020 - مشروع الخدمات اللوجستية للعاملين في القطاع غير الربحي,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8024030 - تمكين الجمعيات المتخصصة العاملة في القطاع غير الربحي,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8024040 - تقديم الخدمات اللوجستية للتدريب في برنامج رائد,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025010 - مشروع العربة,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025020 - مشروع وزارة الرياضة,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025030 - تقديم 3000 ساعة عمل تطوعية لموظفين شركة الكهرباء,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025040 - مصنع الابتكار - اشوكا,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025050 - حصر الاحتياج التدريبي في منظومة الصحة,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025060 - مجموعات عمل التطوع التكافلي,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,14400.0
8025070 - سفر الإفطار في الحرم المكي,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025080 - سوق الدار,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025090 - هاكاثون الوعي المعرفي,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025100 - مشروع منظومة عمل إدارة دراسات الحالة,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025110 - مشروع خارطة الاستثمار الاجتماعي في قطاع الشباب,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8025120 - مشروع تقديم خدمات استشارية لأكاديمية الفوزان,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8026010 - تأسيس وحدة الاستثمار الاجتماعي مع جمعية متلازمة النجاح,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8026020 - التأهيل للتوظيف,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
8026030 - حاضنة أثر الطاقة الاجتماعية,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
Untagged,Cost of Goods Sold,Work done by sisters company - 510001 - تكلفة ساعات العمل المنفذة من كيانات أخرى,510001,0.0
Overall,Cost of Goods Sold,Workshop hall rent - 520601 - ايجار قاعات ورش عمل,520601,79807.8
8000010 - تسوية مراكز التكلفة تكامل,Cost of Goods Sold,Workshop hall rent - 520601 - ايجار قاعات ورش عمل,520601,0.0
8000011 - المصاريف العمومية والادارية تكامل,Cost of Goods Sold,Workshop hall rent - 520601 - ايجار قاعات ورش عمل,520601,0.0
8000020 - مصاريف بيعية وتسويقية تكامل,Cost of Goods Sold,Workshop hall rent - 520601 - ايجار قاعات ورش عمل,520601,0.0
8000030 - تدريب وتطوير تكامل,Cost of Goods Sold,Workshop hall rent - 520601 - ايجار قاعات ورش عمل,520601,0.0
8000040 - مكتب ادارة المشاريع تكامل,Cost of Goods Sold,Workshop hall rent - 520601 - ايجار قاعات ورش عمل,520601,0.0
8000050 - الاتصال المؤسسي تكامل,Cost of Goods Sold,Workshop hall rent - 520601 - ايجار قاعات ورش عمل,520601,0.0
8000060 - منصة قياس الأثر,Cost of Goods Sold,Workshop hall rent - 520601 - ايجار قاعات ورش عمل,520601,0.0
8023010 - إنشاء مقار إدارة العمل التطوعي لخدمة ضيوف الرحمن,Cost of Goods Sold,Workshop hall rent - 520601 - ايجار قاعات ورش عمل,520601,0.0
